date,factor,ic,rank_ic,n
2024-02-22,ep,-0.031075811198019707,-0.11963562753036439,39
2024-02-22,mom_20,0.02881162719941714,0.12090592334494775,41
2024-02-22,mom_60,0.3493390592418963,0.40923344947735196,41
2024-02-22,roe,0.07637089724488502,-0.37992495309568486,40
2024-02-23,bp,0.06049506821447009,0.09749425538899222,38
2024-02-23,ep,-0.03383434904934789,-0.09311740890688261,39
2024-02-23,mom_20,0.11439171444309085,0.20749128919860632,41
2024-02-23,mom_60,0.5057611513088868,0.5106271777003485,41
2024-02-23,roe,0.06960357455038146,-0.26247654784240154,40
2024-02-26,bp,0.19976903022923154,0.23952292373345005,38
2024-02-26,ep,0.11494049062688969,0.06700404858299595,39
2024-02-26,mom_20,0.15897580642062553,0.10731707317073172,41
2024-02-26,mom_60,0.6526160632875535,0.6062717770034843,41
2024-02-26,roe,0.04363472816353036,-0.18649155722326455,40
2024-02-27,bp,0.27771572395510913,0.3955575008206587,38
2024-02-27,ep,0.12804022971751458,0.2020242914979757,39
2024-02-27,mom_20,0.2833318850620138,0.30853658536585377,41
2024-02-27,mom_60,0.6419657141774269,0.564459930313589,41
2024-02-27,roe,-0.03627984670183734,-0.33133208255159474,40
2024-02-28,bp,0.13087308987078602,0.25812452128241603,38
2024-02-28,ep,0.04198466321519788,0.09008097165991902,39
2024-02-28,mom_20,0.37134434233193186,0.45313588850174225,41
2024-02-28,mom_60,0.7228671195333527,0.656445993031359,41
2024-02-28,roe,8.700353542843245e-05,-0.23470919324577863,40
2024-02-29,bp,0.07949205267633123,0.16577306050990262,38
2024-02-29,ep,0.08613985096579176,0.11680161943319839,39
2024-02-29,mom_20,0.5557431999278438,0.49041811846689903,41
2024-02-29,mom_60,0.7502725414115805,0.6141114982578398,41
2024-02-29,roe,0.01087668798027779,-0.10000000000000002,40
2024-03-01,bp,0.3000963825737198,0.41109530583214793,38
2024-03-01,ep,0.20222775631877804,0.30769230769230776,39
2024-03-01,mom_20,0.21202675500670984,0.1590592334494774,41
2024-03-01,mom_60,0.3295595208363977,0.17648083623693384,41
2024-03-01,roe,-0.05610442980945143,-0.21969981238273922,40
2024-03-04,bp,0.19720345217645677,0.29160739687055476,38
2024-03-04,ep,0.10697223407928642,0.298582995951417,39
2024-03-04,mom_20,-0.2688379766290094,-0.2217770034843206,41
2024-03-04,mom_60,-0.3375665433143252,-0.317247386759582,41
2024-03-04,roe,-0.03352297244743231,-0.09455909943714824,40
2024-03-05,bp,-0.19026519791049168,-0.06050990261516577,38
2024-03-05,ep,-0.13966531670632637,0.013157894736842106,39
2024-03-05,mom_20,-0.21410485403666282,-0.24250871080139377,41
2024-03-05,mom_60,-0.1519233750641437,-0.24843205574912894,41
2024-03-05,roe,0.06106893541917827,0.16416510318949346,40
2024-03-06,bp,0.058248880002958366,0.11981617244775139,38
2024-03-06,ep,0.07745250993533734,0.24372469635627533,39
2024-03-06,mom_20,-0.44474564691129725,-0.4804878048780489,41
2024-03-06,mom_60,-0.42246154508072237,-0.47770034843205583,41
2024-03-06,roe,0.056929656252699,0.14746716697936213,40
2024-03-07,bp,0.09543726035031558,0.06576211839369735,38
2024-03-07,ep,0.11708296613810537,0.19959514170040485,39
2024-03-07,mom_20,-0.5713164686520934,-0.6059233449477353,41
2024-03-07,mom_60,-0.5707940538293703,-0.621254355400697,41
2024-03-07,roe,0.03422559099631067,0.18161350844277677,40
2024-03-08,bp,0.08533791509820943,0.06904475325527958,38
2024-03-08,ep,0.1200163969025106,0.2795546558704453,39
2024-03-08,mom_20,-0.16541980993840236,-0.2677700348432056,41
2024-03-08,mom_60,-0.2001961794574196,-0.3616724738675959,41
2024-03-08,roe,0.08960957441944156,0.21069418386491562,40
2024-03-11,bp,0.005605644291127501,-0.019586388007440635,38
2024-03-11,ep,0.042281672989252256,0.11902834008097167,39
2024-03-11,mom_20,-0.026488458844512133,-0.028222996515679447,41
2024-03-11,mom_60,0.1731685439775569,0.11742160278745647,41
2024-03-11,roe,0.03999447172585149,0.2210131332082552,40
2024-03-12,bp,0.13239567478486647,-0.001203632782580151,38
2024-03-12,ep,0.18911741094900292,0.23299595141700405,39
2024-03-12,mom_20,-0.2673937258065824,-0.23449477351916376,41
2024-03-12,mom_60,-0.17317355191306277,-0.1628919860627178,41
2024-03-12,roe,0.05822981490936778,0.2590994371482177,40
2024-03-13,bp,0.08556954162503867,-0.024182076813655765,38
2024-03-13,ep,0.214950313183923,0.1821862348178138,39
2024-03-13,mom_20,-0.1834094112208461,-0.20052264808362374,41
2024-03-13,mom_60,-0.16128192908038402,-0.09512195121951221,41
2024-03-13,roe,0.045383482794555806,0.1932457786116323,40
2024-03-14,bp,0.2975408544619426,0.22792428055585948,38
2024-03-14,ep,0.3719848681197781,0.3746963562753037,39
2024-03-14,mom_20,0.17339028937926348,0.20278745644599308,41
2024-03-14,mom_60,0.02867013194543311,0.052264808362369346,41
2024-03-14,roe,0.1368807012205984,0.021013133208255163,40
2024-03-15,bp,0.18889334726110574,0.16686727213043,38
2024-03-15,ep,0.311812337066285,0.2431174089068826,39
2024-03-15,mom_20,-0.050316715462426345,-0.010801393728222999,41
2024-03-15,mom_60,0.056775644198627406,0.06533101045296168,41
2024-03-15,roe,0.09398783010917902,0.016510318949343343,40
2024-03-18,bp,0.2785035696457347,0.2894189736294999,38
2024-03-18,ep,0.37359245089025395,0.36680161943319844,39
2024-03-18,mom_20,0.09524204827201993,0.08449477351916378,41
2024-03-18,mom_60,0.15342763333776033,0.08745644599303137,41
2024-03-18,roe,0.06345683417365866,-0.04671669793621014,40
2024-03-19,bp,0.37514986482263835,0.3592296750191487,38
2024-03-19,ep,0.4015226084810113,0.3435222672064777,39
2024-03-19,mom_20,0.044981187595346896,0.10818815331010455,41
2024-03-19,mom_60,0.051909331602724706,0.016027874564459935,41
2024-03-19,roe,-0.07847556319627236,-0.14709193245778612,40
2024-03-20,bp,0.341154094169645,0.3500382974067185,38
2024-03-20,ep,0.19447092847432398,0.26396761133603236,39
2024-03-20,mom_20,-0.13911016353503636,-0.07804878048780489,41
2024-03-20,mom_60,-0.1145307624607391,-0.15574912891986065,41
2024-03-20,roe,-0.07089236895114305,-0.2641651031894935,40
2024-03-21,bp,0.10891859170529294,0.15395557500820659,38
2024-03-21,ep,-0.10787141385601548,-0.04352226720647774,39
2024-03-21,mom_20,-0.2603676421179969,-0.27282229965156807,41
2024-03-21,mom_60,-0.29459269390550585,-0.3515679442508711,41
2024-03-21,roe,-0.2536334578059064,-0.24146341463414636,40
2024-03-22,bp,0.24727185048685582,0.3522267206477733,38
2024-03-22,ep,0.04009823653117614,0.14271255060728746,39
2024-03-22,mom_20,-0.17074458787678748,-0.03414634146341464,41
2024-03-22,mom_60,-0.4040071878466973,-0.29059233449477356,41
2024-03-22,roe,-0.42415218585015474,-0.3395872420262665,40
2024-03-25,bp,0.3196498561273964,0.3749863223547434,38
2024-03-25,ep,0.15764155138742056,0.29331983805668016,39
2024-03-25,mom_20,0.2458805561556886,0.30261324041811855,41
2024-03-25,mom_60,-0.10112967592494689,0.001045296167247387,41
2024-03-25,roe,-0.32580175293695507,-0.2701688555347092,40
2024-03-26,bp,0.33357166185841847,0.4051865630812999,38
2024-03-26,ep,0.21833419240819255,0.2937246963562753,39
2024-03-26,mom_20,0.44023291701575834,0.4918118466898956,41
2024-03-26,mom_60,0.20325200952327074,0.3303135888501743,41
2024-03-26,roe,-0.2619826015905463,-0.23902439024390246,40
2024-03-27,bp,0.3270293607842305,0.31130320604004813,38
2024-03-27,ep,0.24838560349024486,0.292914979757085,39
2024-03-27,mom_20,0.41846250782051625,0.4982578397212544,41
2024-03-27,mom_60,0.19868799255600395,0.3094076655052265,41
2024-03-27,roe,-0.2623521631090778,-0.09493433395872422,40
2024-03-28,bp,0.27113444377024093,0.28197833460991356,38
2024-03-28,ep,0.2380404444792055,0.19230769230769235,39
2024-03-28,mom_20,0.3538781957586986,0.32055749128919864,41
2024-03-28,mom_60,0.4161929116041639,0.4459930313588851,41
2024-03-28,roe,-0.21761756612874716,-0.12589118198874297,40
2024-04-01,bp,0.30470152700768766,0.3025495130758289,38
2024-04-01,ep,0.25023450347313503,0.23299595141700405,39
2024-04-01,mom_20,0.31753476803958536,0.3282229965156795,41
2024-04-01,mom_60,0.2552053956386727,0.38449477351916383,41
2024-04-01,roe,-0.019376252526606977,-0.16003752345215763,40
2024-04-02,bp,0.16394092207376668,0.20253857095962358,38
2024-04-02,ep,0.07025138216807411,0.09777327935222672,39
2024-04-02,mom_20,0.0951005568818055,0.16864111498257842,41
2024-04-02,mom_60,-0.20337385054656282,-0.0047038327526132415,41
2024-04-02,roe,-0.0035706319813172747,-0.23752345215759854,40
2024-04-03,bp,0.0077959686868116955,0.1171900645584856,38
2024-04-03,ep,-0.11757117244244962,-0.0680161943319838,39
2024-04-03,mom_20,0.23520541683841292,0.13135888501742163,41
2024-04-03,mom_60,-0.1106092292555957,-0.060801393728223005,41
2024-04-03,roe,-0.1628246922612581,-0.21707317073170734,40
2024-04-04,bp,-0.22376277352836182,0.016522595469963892,38
2024-04-04,ep,-0.16967041700418237,-0.1076923076923077,39
2024-04-04,mom_20,0.0012728740239403736,0.014111498257839724,41
2024-04-04,mom_60,0.40062767029423196,0.37804878048780494,41
2024-04-04,roe,-0.16896835379345934,-0.10919324577861166,40
2024-04-05,bp,-0.3428187356166493,-0.11784659153080204,38
2024-04-05,ep,-0.23640794418413236,-0.07611336032388663,39
2024-04-05,mom_20,-0.09786023485094981,-0.13954703832752616,41
2024-04-05,mom_60,-0.1512998075857294,-0.0696864111498258,41
2024-04-05,roe,-0.10753785774466448,0.018198874296435276,40
2024-04-08,bp,-0.16139649408968,-0.08348834664624137,38
2024-04-08,ep,-0.021634917429008294,0.06336032388663967,39
2024-04-08,mom_20,0.10074679245193892,0.04303135888501743,41
2024-04-08,mom_60,-0.019110583519966157,-0.07839721254355403,41
2024-04-08,roe,-0.199982061942675,0.13939962476547843,40
2024-04-09,bp,-0.18442060824340178,-0.17780938833570412,38
2024-04-09,ep,0.06869065636897106,0.08097165991902834,39
2024-04-09,mom_20,0.017727365054425046,-0.006445993031358886,41
2024-04-09,mom_60,0.25075937702100115,0.1585365853658537,41
2024-04-09,roe,-0.19387343911599017,0.33939962476547847,40
2024-04-10,bp,0.004081380809090303,-0.10734215997373893,38
2024-04-10,ep,0.25409035068631763,0.22267206477732795,39
2024-04-10,mom_20,0.01776756196080547,-0.04738675958188154,41
2024-04-10,mom_60,-0.16856072999735214,-0.2522648083623694,41
2024-04-10,roe,-0.10723423776028934,0.3606003752345216,40
2024-04-11,bp,0.20705431083584552,0.11915964547543496,38
2024-04-11,ep,0.27076197129471896,0.31032388663967614,39
2024-04-11,mom_20,-0.2631172082613729,-0.3179442508710802,41
2024-04-11,mom_60,-0.22808556456268111,-0.3299651567944252,41
2024-04-11,roe,-0.09692713234550562,0.1330206378986867,40
