date,portfolio_return,benchmark_return,turnover,cost,nav
2023-10-13,0.0017969629776281586,-0.004980709669269223,0.0,0.0,2.055412651457679
2023-10-16,0.01020820588698971,0.010521383332395828,0.0,0.0,2.076394726986482
2023-10-17,0.0029826801086629273,-4.592278588988474e-05,0.0,0.0,2.0825879482363976
2023-10-18,-0.011608331074426728,-0.013325151577426309,0.0,0.0,2.0584125778416587
2023-10-19,-0.00256008104879234,-0.008786268781063922,0.0,0.0,2.0531428748105305
2023-10-20,-0.011825761843494162,-0.012288076620788124,0.0,0.0,2.0288628961423543
2023-10-23,-0.007082672372532046,-0.0017331862026238598,0.0,0.0,2.0144931249601914
2023-10-24,0.0031277783273294443,0.007539412967386028,0.0,0.0,2.020794012896996
2023-10-25,-0.013973784161748999,-0.014352175181991389,0.0,0.0,1.9925558735254187
2023-10-26,-0.00753173901490129,-0.01197453307034757,0.0,0.0,1.9775484627134166
2023-10-27,-0.014695129999488028,-0.0045328431752262865,0.0,0.0,1.948488130973555
2023-10-30,0.01574551956341742,0.011955816759762872,0.0,0.0,1.979168088958886
2023-10-31,-0.00020335457584526635,0.006280166153906697,0.0,0.0,1.9787656160716294
2023-11-01,0.0072241484689917305,0.010664768860745077,0.6000000000000001,0.0006000000000000001,1.9930605126674665
2023-11-02,0.022687882470582937,0.019164334340159517,0.0,0.0,2.038278835335626
2023-11-03,0.00689977387161112,0.009123472322346338,0.0,0.0,2.052342498386733
2023-11-06,0.002505913073709254,0.0023002280744437442,0.0,0.0,2.0574854902851696
2023-11-07,0.0024418549657474363,0.0028462485949234395,0.0,0.0,2.0625095714465758
2023-11-08,0.0013119840566703795,0.00073233113328941,0.0,0.0,2.0652155511210437
2023-11-09,-0.008433193725820732,-0.007798735073642149,0.0,0.0,2.047799188292862
2023-11-10,0.016705420395664396,0.015604822773145344,0.0,0.0,2.0820085346191948
2023-11-13,0.0005824643588919318,-0.0009531612598220329,0.0,0.0,2.083221230385519
2023-11-14,0.01695117783022929,0.019400771539097805,0.0,0.0,2.1185342839214933
2023-11-15,0.0013791607433940034,0.0021170484388934874,0.0,0.0,2.121456083239412
2023-11-16,-0.003897198471212909,0.001223029788141039,0.0,0.0,2.113188347835066
2023-11-17,0.00433629836655124,0.001243773527483949,0.0,0.0,2.122351763015998
2023-11-20,0.005802251019614318,0.007697681846331683,0.0,0.0,2.1346661806969376
2023-11-21,-0.0048677682415471605,-0.002179438067467454,0.0,0.0,2.1242751204562365
2023-11-22,0.004084529538904297,0.0038608458977704707,0.0,0.0,2.1329517849344994
2023-11-24,0.00294397142811404,0.0006152709672853085,0.0,0.0,2.1392311340468915
2023-11-27,-0.004029083498665243,-0.0018009052032904593,0.0,0.0,2.130611993184872
2023-11-28,0.0014229749430822614,0.000990092288073452,0.0,0.0,2.133643800664605
2023-11-29,-0.0009824865804911377,-0.0007032861776791188,0.0,0.0,2.131547524262904
2023-11-30,0.005337161518292427,0.003937420684378301,0.0,0.0,2.1429239376838116
2023-12-01,0.005521120782604317,0.005915769459452935,0.6000000000000001,0.0006000000000000001,2.154755279571698
2023-12-04,-0.0071827705722458226,-0.0052493677716182185,0.0,0.0,2.139278166759199
2023-12-05,-0.0024917640230645135,-0.0001970326388219812,0.0,0.0,2.133947590387941
2023-12-06,-0.005925338600755048,-0.004029759860348148,0.0,0.0,2.121303228358627
2023-12-07,0.014592575334717023,0.007630412037957557,0.0,0.0,2.152258505526228
2023-12-08,0.007985543696880988,0.004299124818565092,0.0,0.0,2.1694454598690918
2023-12-11,0.009134825294480531,0.003889524957591206,0.0,0.0,2.1892629651309
2023-12-12,0.011611095343167111,0.004567402823598243,0.0,0.0,2.2146827061503
2023-12-13,0.014851334710349714,0.013790039419786293,0.0,0.0,2.247573700296561
2023-12-14,0.008725681970514763,0.003209282219295728,0.0,0.0,2.267185313610642
2023-12-15,0.003773528522603009,-0.0016465001965407788,0.0,0.0,2.2757406020575783
2023-12-18,0.003749682420024059,0.005625065351605896,0.0,0.0,2.2842739065856486
2023-12-19,0.007775168688484203,0.006080867666898859,0.0,0.0,2.3020345215400546
2023-12-20,-0.0147894524465143,-0.013857250338460525,0.0,0.0,2.2679886914535037
2023-12-21,0.01102943750729222,0.009481890201113785,0.0,0.0,2.2930033309931352
2023-12-22,-0.0008962268069162228,0.002009740101651891,0.0,0.0,2.290948279939551
2023-12-26,0.005205079408855884,0.0042226082931333675,0.0,0.0,2.302872847658218
2023-12-27,0.002459498429063822,0.0018080036580676584,0.0,0.0,2.308536759809367
2023-12-28,0.0022351358653130145,0.0003777287695538867,0.0,0.0,2.3136966531176104
2023-12-29,-0.0038108638502251605,-0.002894980597400454,0.0,0.0,2.3048794701818576
2024-01-02,-0.011327320097459473,-0.005596319259629667,0.5,0.0005,2.2787713626370447
2024-01-03,-0.010246209256985807,-0.008166726287654136,0.0,0.0,2.255422594406639
2024-01-04,0.0013016886033549117,-0.0032210259670719665,0.0,0.0,2.2583584522935274
2024-01-05,0.00805468932183422,0.0013697728339259196,0.0,0.0,2.27654882800409
2024-01-08,0.013927467053037858,0.01427575497986111,0.0,0.0,2.308255386800749
2024-01-09,-0.003482545286040573,-0.0015169957036514914,0.0,0.0,2.3002167828844686
2024-01-10,0.002924141496001465,0.0056554239754880165,0.0,0.0,2.3069429422291003
2024-01-11,0.0019201005790472018,-0.0004407250473164037,0.0,0.0,2.3113725047083036
2024-01-12,-0.0017832555077729295,0.0006927792573832026,0.0,0.0,2.3072507369587676
2024-01-16,-0.003048778520092743,-0.00367128002415551,0.0,0.0,2.3002164404714596
2024-01-17,-0.0051796486398514195,-0.005558607026508677,0.0,0.0,2.2883021275142075
2024-01-18,0.007984468866060286,0.008892799076214875,0.0,0.0,2.306573004607484
2024-01-19,0.022467432660653337,0.012466165038470978,0.0,0.0,2.3583957782653835
2024-01-22,0.0011159435180155498,0.002114413632085421,0.0,0.0,2.3610276147470537
2024-01-23,0.0006700603601771436,0.002916313440454621,0.0,0.0,2.3626096457609793
2024-01-24,0.014844489905358827,0.0010931699224414615,0.0,0.0,2.3976813807977817
2024-01-25,0.009746349374766643,0.005439014424125199,0.0,0.0,2.42105002122441
2024-01-26,0.000785018974629547,-0.0012703467678506497,0.0,0.0,2.4229505914295983
2024-01-29,0.00724099019237045,0.007919287664915675,0.0,0.0,2.4404951528987384
2024-01-30,0.004469745389119629,-0.000773419393926944,0.0,0.0,2.451403544855576
2024-01-31,-0.014011900614756182,-0.016317426986981687,0.0,0.0,2.4170547220183987
2024-02-01,0.00591795486714,0.013088251815188245,0.30000000000000004,0.00030000000000000003,2.431358742774711
2024-02-02,0.01944485168744946,0.010527358922269192,0.0,0.0,2.4786361529269487
2024-02-05,-0.0023398549101999178,-0.00364122734048955,0.0,0.0,2.4728365039539235
2024-02-06,-0.0033580752203132506,0.0029033061044934083,0.0,0.0,2.4645325329661096
2024-02-07,0.010589479358860766,0.008340520226539194,0.0,0.0,2.490630649353195
2024-02-08,0.0015527332593050559,0.00044155963850278646,0.0,0.0,2.4944979343990905
2024-02-09,0.0014137941123887273,0.005779524778408263,0.0,0.0,2.4980246408921096
